Customer_ID,Customer_Name,City
1001,Customer_1001,Chennai
1002,Customer_1002,Coimbatore
1003,Customer_1003,Coimbatore
1004,Customer_1004,Hyderabad
1005,Customer_1005,Hyderabad
1006,Customer_1006,Madurai
1007,Customer_1007,Chennai
1008,Customer_1008,Coimbatore
1009,Customer_1009,Bengaluru
1010,Customer_1010,Chennai
1011,Customer_1011,Hyderabad
1012,Customer_1012,Madurai
1013,Customer_1013,Coimbatore
1014,Customer_1014,Coimbatore
1015,Customer_1015,Coimbatore
1016,Customer_1016,Coimbatore
1017,Customer_1017,Hyderabad
1018,Customer_1018,Chennai
1019,Customer_1019,Madurai
1020,Customer_1020,Hyderabad
1021,Customer_1021,Hyderabad
1022,Customer_1022,Bengaluru
1023,Customer_1023,Chennai
1024,Customer_1024,Madurai
1025,Customer_1025,Coimbatore
1026,Customer_1026,Coimbatore
1027,Customer_1027,Hyderabad
1028,Customer_1028,Madurai
1029,Customer_1029,Hyderabad
1030,Customer_1030,Hyderabad
1031,Customer_1031,Hyderabad
1032,Customer_1032,Bengaluru
1033,Customer_1033,Chennai
1034,Customer_1034,Hyderabad
1035,Customer_1035,Madurai
1036,Customer_1036,Chennai
1037,Customer_1037,Madurai
1038,Customer_1038,Madurai
1039,Customer_1039,Bengaluru
1040,Customer_1040,Coimbatore
1041,Customer_1041,Chennai
1042,Customer_1042,Coimbatore
1043,Customer_1043,Coimbatore
1044,Customer_1044,Bengaluru
1045,Customer_1045,Chennai
1046,Customer_1046,Madurai
1047,Customer_1047,Hyderabad
1048,Customer_1048,Madurai
1049,Customer_1049,Coimbatore
1050,Customer_1050,Coimbatore
1051,Customer_1051,Coimbatore
1052,Customer_1052,Chennai
1053,Customer_1053,Bengaluru
1054,Customer_1054,Hyderabad
1055,Customer_1055,Hyderabad
1056,Customer_1056,Chennai
1057,Customer_1057,Hyderabad
1058,Customer_1058,Chennai
1059,Customer_1059,Coimbatore
1060,Customer_1060,Coimbatore
1061,Customer_1061,Madurai
1062,Customer_1062,Coimbatore
1063,Customer_1063,Bengaluru
1064,Customer_1064,Madurai
1065,Customer_1065,Hyderabad
1066,Customer_1066,Bengaluru
1067,Customer_1067,Madurai
1068,Customer_1068,Bengaluru
1069,Customer_1069,Chennai
1070,Customer_1070,Hyderabad
1071,Customer_1071,Coimbatore
1072,Customer_1072,Chennai
1073,Customer_1073,Hyderabad
1074,Customer_1074,Chennai
1075,Customer_1075,Coimbatore
1076,Customer_1076,Hyderabad
1077,Customer_1077,Bengaluru
1078,Customer_1078,Bengaluru
1079,Customer_1079,Hyderabad
1080,Customer_1080,Coimbatore
1081,Customer_1081,Madurai
1082,Customer_1082,Hyderabad
1083,Customer_1083,Chennai
1084,Customer_1084,Madurai
1085,Customer_1085,Coimbatore
1086,Customer_1086,Coimbatore
1087,Customer_1087,Chennai
1088,Customer_1088,Bengaluru
1089,Customer_1089,Coimbatore
1090,Customer_1090,Madurai
1091,Customer_1091,Hyderabad
1092,Customer_1092,Madurai
1093,Customer_1093,Madurai
1094,Customer_1094,Bengaluru
1095,Customer_1095,Madurai
1096,Customer_1096,Bengaluru
1097,Customer_1097,Bengaluru
1098,Customer_1098,Coimbatore
1099,Customer_1099,Coimbatore
1100,Customer_1100,Chennai
